Title,Zone,Latitude,Longitude,Operator,Post Code,Alternate Title,Total Spaces,Allowed Vehicles,Last Tariff Update,Charge Times,Parking Rate / Hour,Convenience Fee,Remainder Message Fee,Summary Message Fee,Maximum Stay,Extendable Upto,Advance Parking,Location Type,Number of Allowed Vehicle Types
Cambridge Leisure,9308,52.1911812,0.136260003,X-Leisure,CB12JH,Cambridge Leisure/Cambridge,600,Car,26 September 2018,All Week,£1.00,20p,10p,10p,24 Hours,Forever,Yes,Off street,1
Valpy Street,9425,51.457489,-0.96924001,Reading Borough Council,RG1 1AF,Valpy Street/Reading,6,Car,14 March 2021,All Week,£0.90,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
The Forbury,9426,51.4561996,-0.968739986,Reading Borough Council,RG1 3EJ,The Forbury/Reading,4,Car,14 March 2021,All Week,£0.90,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
Abbey Street,9427,51.455349,-0.965659976,Reading Borough Council,RG1 3BA,Abbey Street/Reading,10,Car,29 August 2019,All Week,£0.80,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
Kings Road,9428,51.4547081,-0.967040002,Reading Borough Council,RG1 3AA,Kings Road/Reading,38,Car,05 March 2021,All Week,£0.80,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
Fobney Street,9429,51.4519691,-0.973320007,Reading Borough Council,RG1 6BJ,Fobney Street/Reading,13,Car,15 March 2021,All Week,£0.90,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
Castle Street,9430,51.4536095,-0.974979997,Reading Borough Council,RG1 7RD,Castle Street/Reading,6,Car,15 March 2021,All Week,£0.90,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
Cheapside,9431,51.4559097,-0.977639973,Reading Borough Council,RG1 7AB,Cheapside/Reading,12,Car,14 March 2021,All Week,£0.90,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
Sackville Street,9432,51.4572487,-0.976610005,Reading Borough Council,RG1 1NT,Sackville Street/Reading,2,Car,05 March 2021,All Week,£0.90,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
Vachel Road,9433,51.45755,-0.97665,Reading Borough Council,RG1 1NY,Vachel Road/Reading,13,Car,05 March 2021,All Week,£0.90,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
Oxford Road,9435,51.4553795,-0.978209972,Reading Borough Council,RG1 7LT,Oxford Road/Reading,13,Car,14 March 2021,All Week,£0.90,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
Thorn Street,9436,51.4557495,-0.978009999,Reading Borough Council,RG1 7LT,Thorn Street/Reading,3,Car,14 March 2021,All Week,£0.90,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
South Street,9437,51.4529114,-0.963150024,Reading Borough Council,RG1 4QU,South Street/Reading,9,Car,08 November 2018,All Week,£0.70,20p,10p,10p,3 Hours,Up to Maximum stay,No,On street,1
Hosier Street,9439,51.4543686,-0.975499988,Reading Borough Council,RG1 7JL,Hosier Street/Reading,9,Car,11 March 2020,All Week,£0.90,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
Deansgate Road,9440,51.4514313,-0.970510006,Reading Borough Council,RG1 2RZ,Deansgate Road/Reading,7,Car,05 March 2021,All Week,£0.80,20p,10p,10p,3 Hours,Up to Maximum stay,No,On street,1
Castle Street,9441,51.4533691,-0.974730015,Reading Borough Council,RG1 7SB,Castle Street/Reading,3,Car,05 March 2021,All Week,£0.90,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
East Street,9442,51.4511299,-0.966130018,Reading Borough Council,RG1 4JE,East Street/Reading,2,Car,05 March 2021,All Week,£0.80,20p,10p,10p,3 Hours,Up to Maximum stay,No,On street,1
Kenavon Drive,9443,51.4563713,-0.957400024,Reading Borough Council,RG1 3DH,Kenavon Drive/Reading,20,Car,05 March 2021,All Week,£0.80,20p,10p,10p,3 Hours,Up to Maximum stay,No,On street,1
Stanshaw Road,9444,51.4584198,-0.976260006,Reading Borough Council,RG1 1PB,Stanshaw Road/Reading,4,Car,05 March 2021,All Week,£0.90,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
South Street,9446,51.452549,-0.965120018,Reading Borough Council,RG1 4RA,South Street/Reading,18,Car,05 March 2021,All Week,£0.80,20p,10p,10p,3 Hours,Up to Maximum stay,No,On street,1
St Mary's Butts,9447,51.4538689,-0.974189997,Reading Borough Council,RG1 2LS,St Mary's Butts/Reading,3,Car,14 March 2021,All Week,£0.90,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
London Street,9448,51.4511604,-0.967270017,Reading Borough Council,RG1 4QA,London Street/Reading,33,Car,05 March 2021,All Week,£0.80,20p,10p,10p,3 Hours,Up to Maximum stay,No,On street,1
Kensington Road Car Park,9449,51.4558601,-0.998539984,Reading Borough Council,RG30 2SZ,Kensington Road Car Park/Reading,50,Car,13 April 2023,All Week,Free,20p,10p,10p,7 Hours,Up to Maximum stay,No,On street,1
Friar Street,9450,51.4567299,-0.971459985,Reading Borough Council,,Friar Street/Reading,4,Car,05 March 2021,All Week,£0.90,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
Blagrave Street,9451,51.456871,-0.970179975,Reading Borough Council,,Blagrave Street/Reading,4,Car,05 March 2021,All Week,£0.90,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
Greyfriars Road,9452,51.4573212,-0.975790024,Reading Borough Council,,Greyfriars Road/Reading,8,Car,05 March 2021,All Week,£0.90,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
West Street,9453,51.4562416,-0.975979984,Reading Borough Council,,West Street/Reading,4,Car,05 March 2021,All Week,£0.90,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
Howard Street,9454,51.4549294,-0.97931999,Reading Borough Council,,Howard Street/Reading,6,Car,26 February 2020,All Week,£0.90,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
Erleigh Road East,9455,51.4496002,-0.951099992,Reading Borough Council,RG1 5NA,Erleigh Road East/Reading,30,Car,15 February 2017,All Week,£0.60,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
Addington Road East,9456,51.4481316,-0.950559974,Reading Borough Council,RG1 5PZ,Addington Road East/Reading,10,Car,15 February 2017,All Week,£0.60,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
Allcroft Road,9457,51.4456902,-0.960200012,Reading Borough Council,RG1 5HH,Allcroft Road/Reading,12,Car,18 August 2020,All Week 8:00am - 5:30pm,£0.80,20p,10p,10p,10 Hours,Up to Maximum stay,No,On street,1
Morgan Road,9458,51.4470215,-0.960600019,Reading Borough Council,RG1 5HG,Morgan Road/Reading,12,Car,18 August 2020,All Week 8:00am - 5:30pm,£0.80,20p,10p,10p,10 Hours,Up to Maximum stay,No,On street,1
Denmark Road,9459,51.4511719,-0.954400003,Reading Borough Council,RG1 5PA,Denmark Road/Reading,12,Car,18 August 2020,All Week 8:00am - 5:30pm,£0.80,20p,10p,10p,10 Hours,Up to Maximum stay,No,On street,1
Thames Side Promenade Car Park,9460,51.4658318,-0.979480028,Reading Borough Council,RG1 8EQ,Thames Side Promenade Car Park/Reading,63,Car,27 August 2019,Monday to Friday,Free,20p,10p,10p,5 Hours,Up to Maximum stay,No,Off street,1
Addington Road West,9461,51.4474907,-0.95389998,Reading Borough Council,RG1 5LL,Addington Road West/Reading,24,Car,18 August 2020,All Week 8:00am - 5:30pm,£0.80,20p,10p,10p,10 Hours,Up to Maximum stay,No,On street,1
Elmhurst Road,9462,51.4437408,-0.952210009,Reading Borough Council,RG1 5HY,Elmhurst Road/Reading,36,Car,15 October 2021,Monday to Friday 8:00am - 5:30pm,£1.00,20p,10p,10p,9 Hours,Up to Maximum stay,No,On street,1
Alexandra Road,9463,51.4489594,-0.952099979,Reading Borough Council,RG1 5PG,Alexandra Road/Reading,66,Car,18 August 2020,All Week 8:00am - 5:30pm,£0.80,20p,10p,10p,10 Hours,Up to Maximum stay,No,On street,1
Eldon Square,9464,51.4523582,-0.957719982,Reading Borough Council,RG1 4PD,Eldon Square/Reading,6,Car,07 October 2020,Monday to Friday 8:00am - 5:30pm,£0.80,20p,10p,10p,10 Hours,Up to Maximum stay,No,On street,1
Kendrick Road,9465,51.4474106,-0.96359998,Reading Borough Council,RG1 5DU,Kendrick Road/Reading,42,Car,18 August 2020,All Week 8:00am - 5:30pm,£0.80,20p,10p,10p,10 Hours,Up to Maximum stay,No,On street,1
Redlands Road,9466,51.4477997,-0.958299994,Reading Borough Council,RG1 5EX,Redlands Road/Reading,36,Car,18 August 2020,All Week 8:00am - 5:30pm,£0.80,20p,10p,10p,10 Hours,Up to Maximum stay,No,On street,1
Erleigh Road West,9467,51.4503098,-0.95480001,Reading Borough Council,RG1 5LR,Erleigh Road West/Reading,36,Car,18 August 2020,All Week 8:00am - 5:30pm,£0.80,20p,10p,10p,10 Hours,Up to Maximum stay,No,On street,1
Upper Redlands Road,9468,51.4455986,-0.950399995,Reading Borough Council,RG1 5JJ,Upper Redlands Road/Reading,42,Car,18 August 2020,All Week 8:00am - 5:30pm,£0.80,20p,10p,10p,10 Hours,Up to Maximum stay,No,On street,1
Pepper Lane,9469,51.4391289,-0.950100005,Reading Borough Council,RG2 7EA,Pepper Lane/Reading,12,Car,27 October 2020,All Week 8:00am - 5:30pm,Free,20p,10p,10p,7 Hours,Up to Maximum stay,No,On street,1
Cintra Avenue,9470,51.4429283,-0.959779978,Reading Borough Council,RG2 7AU,Cintra Avenue/Reading,10,Car,25 August 2017,Monday to Saturday 8:00am - 5:30pm,£0.60,20p,10p,10p,3 Hours,Up to Maximum stay,No,On street,1
Hills Meadow Car Park,9471,51.4619484,-0.966180027,Reading Borough Council,RG4 8DH,Hills Meadow Car Park/Caversham,350,Car,05 March 2021,All Week 6:00am - 6:00pm,£10.00,20p,10p,10p,12 Hours,Up to Maximum stay,No,Off street,1
Kings Meadow Car Park  Napier Road,9472,51.4594498,-0.965080023,Reading Borough Council,RG1 8DF,"Kings Meadow Car Park, Napier Road/Reading",110,Car,11 August 2022,All Week 6:00am - 6:00pm,£11.00,20p,10p,10p,24 Hours,Up to Maximum stay,No,Off street,1
Cattle Market Car Park,9473,51.4584084,-0.980270028,Reading Borough Council,RG1 7HF,Cattle Market Car Park/Reading,65,"Car, HGV/LGV, Coach",14 April 2021,Sunday to Friday,£2.10,20p,10p,10p,24 Hours,Up to Maximum stay,No,Off street,3
Recreation Road Car Park,9474,51.4600716,-1.03645003,Reading Borough Council,RG30 4UB,Recreation Road Car Park/Tilehurst,90,Car,30 March 2021,Monday to Saturday 6:00am - 6:00pm,Free,20p,10p,10p,24 Hours,Up to Maximum stay,No,Off street,1
Dunstall Close Car Park,9475,51.4589386,-1.04061997,Reading Borough Council,RG31 5AY,Dunstall Close Car Park/Tilehurst,45,Car,30 March 2021,Monday to Saturday 6:00am - 6:00pm,Free,20p,10p,10p,24 Hours,Up to Maximum stay,No,Off street,1
Civic B Car Park,9476,51.4536591,-0.975849986,Reading Borough Council,RG1 7TD,Civic B Car Park/Reading,170,Car,31 March 2021,All Week 6:00pm - 5:54am,£4.00,20p,10p,10p,1 Day,Up to Maximum stay,No,Off street,1
Chester Street Car Park,9477,51.4681511,-0.973200023,Reading Borough Council,RG4 8JH,Chester Street Car Park/Caversham,70,Car,02 April 2021,Monday to Saturday,Free,20p,10p,10p,14 Hours,Up to Maximum stay,No,Off street,1
Weldale Street,9478,51.4574394,-0.97924,Reading Borough Council,RG1 7BX,Weldale Street/Reading,0,Car,05 March 2021,All Week,£0.80,20p,10p,10p,3 Hours,Up to Maximum stay,No,On street,1
Mill Lane,9479,51.4529419,-0.968779981,Reading Borough Council,RG1 4PS,Mill Lane/Reading,0,Car,05 March 2021,All Week,£0.80,20p,10p,10p,3 Hours,Up to Maximum stay,No,On street,1
Crossland Road,9480,51.4520187,-0.96934998,Reading Borough Council,RG1 2HT,Crossland Road/Reading,0,Car,05 March 2021,All Week,£0.80,20p,10p,10p,3 Hours,Up to Maximum stay,No,On street,1
Great Knollys Street,9481,51.4583015,-0.97961998,Reading Borough Council,RG1 7HN,Great Knollys Street/Reading,0,Car,05 March 2021,All Week,£0.80,20p,10p,10p,3 Hours,Up to Maximum stay,No,On street,1
Northfield Road,9482,51.4611816,-0.976220012,Reading Borough Council,RG1 8JA,Northfield Road/Reading,0,Car,05 March 2021,All Week,£0.80,20p,10p,10p,3 Hours,Up to Maximum stay,No,On street,1
Wokingham Road,9483,51.4485817,-0.936969995,Reading Borough Council,RG6 1LH,Wokingham Road/Reading,0,Car,08 February 2021,All Week 8:00am - 8:00pm,£1.60,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
Palmer Park Car Park,9484,51.4518089,-0.938059986,Reading Borough Council,RG6 1LF,Palmer Park Car Park/Reading,0,Car,15 October 2019,All Week,£0.50,20p,10p,10p,10 Hours,Up to Maximum stay,No,Off street,1
Oxford Road (Howard Street to Bedford Road),9485,51.4549904,-0.981670022,Reading Borough Council,RG1 7UD,Oxford Road (Howard Street to Bedford Road)/Reading,40,Car,03 February 2021,All Week 8:00am - 8:00pm,£0.50,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
Oxford Road (Bedford Road to Grovelands Road),9486,51.4563103,-0.994050026,Reading Borough Council,RG30 1AY,Oxford Road (Bedford Road to Grovelands Road)/Reading,120,Car,03 February 2021,All Week 8:00am - 8:00pm,£1.60,20p,10p,10p,2 Hours,Up to Maximum stay,No,On street,1
Wokingham Road Long Stay,9487,51.4457283,-0.93392998,Reading Borough Council,RG6 1LP,Wokingham Road Long Stay/Reading,60,Car,13 April 2021,All Week,Free,20p,10p,10p,24 Hours,Up to Maximum stay,Yes,On street,1
Reading Green Park Station Car Park,9489,51.4274292,-0.999909997,Reading Borough Council,RG2 6AT,Reading Green Park Station Car Park/Reading,56,Car,09 November 2022,All Week,£3.00,20p,10p,10p,24 Hours,Up to Maximum stay,No,Off street,1
Benfleet Station Car Park,9500,51.5437012,0.562860012,C2C,SS71NF,Benfleet Station Car Park/C2C,0,Car,17 April 2023,All Week,£1.00,30p,10p,10p,31 Days,Forever,No,Off street,1
Chafford Hundred Station Car Park,9501,51.4858284,0.287970006,C2C,RM166QQ,Chafford Hundred Station Car Park/C2C,0,Car,31 March 2023,All Week,£1.00,30p,10p,10p,31 Days,Forever,No,Off street,1
Grays Station Car Park,9502,51.4760094,0.321480006,C2C,RM176NQ,Grays Station Car Park/C2C,0,Car,17 April 2023,All Week,£1.00,30p,10p,10p,31 Days,Forever,No,Off street,1
Laindon Station Car Park,9503,51.5676498,0.424789995,C2C,SS156AB,Laindon Station Car Park/C2C,0,Car,17 April 2023,All Week,£1.00,30p,10p,10p,31 Days,Forever,No,Off street,1
Leigh on Sea Station Car Park,9504,51.5405006,0.639880002,C2C,SS92ET,Leigh on Sea Station Car Park/C2C,0,Car,17 April 2023,All Week,£1.00,30p,10p,10p,31 Days,Forever,No,Off street,1
Ockendon Station Car Park,9505,51.5219917,0.290520012,C2C,RM15 6PD,Ockendon Station Car Park/C2C,0,Car,17 April 2023,All Week,£1.00,30p,10p,10p,31 Days,Forever,No,Off street,1
Pitsea Station Car Park,9506,51.5602989,0.504779994,C2C,SS16 4UD,Pitsea Station Car Park/C2C,0,Car,17 April 2023,All Week,£1.00,30p,10p,10p,31 Days,Forever,No,Off street,1
Purfleet Station Car Park,9507,51.4808998,0.236509994,C2C,RM16 1PL,Purfleet Station Car Park/C2C,0,Car,04 April 2023,,£29.00,30p,10p,10p,31 Days,Forever,No,Off street,1
Rainham Station Car Park,9508,51.51577,0.189659998,C2C,RM13 9HY,Rainham Station Car Park/C2C,0,Car,04 April 2023,,£26.00,30p,10p,10p,31 Days,Up to Maximum stay,Yes,Off street,1
Shoeburyness Station Car Park,9509,51.5307617,0.795700014,C2C,SS3 9AW,Shoeburyness Station Car Park/C2C,0,Car,17 April 2023,All Week,£1.00,30p,10p,10p,31 Days,Forever,No,Off street,1
Stanford Le Hope Station Car Park,9510,51.5145988,0.423029989,C2C,SS170JX,Stanford Le Hope Station Car Park/C2C,0,Car,04 April 2023,All Week,£1.00,30p,10p,10p,31 Days,Forever,Yes,Off street,1
Thorpe Bay Station Car Park,9511,51.5379295,0.761300027,C2C,SS13JY,Thorpe Bay Station Car Park/C2C,0,Car,06 June 2023,All Week,£1.00,30p,10p,10p,31 Days,Forever,No,Off street,1
Upminster Station Car Park,9512,51.5584602,0.252380013,C2C,RM142TD,Upminster Station Car Park/C2C,0,Car,04 April 2023,All Week,£1.00,30p,10p,10p,31 Days,Forever,No,Off street,1
Westcliff Station Car Park,9513,51.5377197,0.691200018,C2C,SS07SB,Westcliff Station Car Park/C2C,0,Car,04 April 2023,,£31.00,30p,10p,10p,31 Days,Forever,No,Off street,1
West Horndon Station Car Park,9514,51.5681381,0.340119988,C2C,CM133TJ,West Horndon Station Car Park/C2C,0,Car,04 April 2023,Monday to Friday,£1.00,30p,10p,10p,31 Days,Forever,No,Off street,1
Dagenham Dock Station Car Park,9515,51.5242805,0.146430001,C2C,RM9 6PF,Dagenham Dock Station Car Park/C2C,12,Car,31 March 2023,24hrs,£27.00,30p,10p,10p,31 Days,Up to Maximum stay,No,Off street,1
Julians Didcot Car Park,9550,51.6102715,-1.24409997,DTZ Cushman and Wakefield,OX11 7NN,Julians Didcot Car Park/Didcot,275,Car,19 January 2017,Monday to Friday,£1.25,,10p,10p,7 Days,Up to Maximum stay,No,Off street,1
Central Car Park,9570,51.0051689,-0.936049998,East Hampshire District Council,GU32 3DL,Central Car Park/Petersfield,320,Car,19 May 2017,Monday to Saturday 8:00am - 6:00pm,£1.40,20p,10p,10p,3 Hours,Up to Maximum stay,No,Off street,1
Castle Yard Car Park,9571,51.0040588,-0.940460026,East Hampshire District Council,GU32 3AG,Castle Yard Car Park/Petersfield,50,Car,19 May 2017,Monday to Saturday 8:00am - 6:00pm,£1.00,20p,10p,10p,10 Hours,Up to Maximum stay,No,Off street,1
Swan Street Car Park,9572,51.0049782,-0.939700007,East Hampshire District Council,GU31 3AF,Swan Street Car Park/Petersfield,170,Car,20 April 2018,Monday to Saturday 8:00am - 6:00pm,£1.00,20p,10p,10p,10 Hours,Up to Maximum stay,No,Off street,1
Festival Hall Car Park,9573,51.0043297,-0.93313998,East Hampshire District Council,GU31 4EA,Festival Hall Car Park/Petersfield,340,Car,19 May 2017,Monday to Saturday 8:00am - 6:00pm,£1.00,20p,10p,10p,10 Hours,Up to Maximum stay,No,Off street,1
Rogers Court Car Park,9574,51.1502991,-0.972079992,East Hampshire District Council,GU34 1TS,Rogers Court Car Park/Alton,20,Car,19 May 2017,Monday to Saturday 8:00am - 6:00pm,£1.00,20p,10p,10p,10 Hours,Up to Maximum stay,No,Off street,1
Manor House Car Park,9575,51.1491013,-0.974080026,East Hampshire District Council,GU34 1FG,Manor House Car Park/Alton,60,Car,03 October 2018,Monday to Saturday 8:00am - 6:00pm,£1.00,20p,10p,10p,10 Hours,Up to Maximum stay,No,Off street,1
Turk Street Car Park,9576,51.1465416,-0.976880014,East Hampshire District Council,GU34 1AU,Turk Street Car Park/Alton,60,Car,19 May 2017,Monday to Saturday 8:00am - 6:00pm,£1.00,20p,10p,10p,10 Hours,Up to Maximum stay,No,Off street,1
Lady Place Car Park,9577,51.1482086,-0.978439987,East Hampshire District Council,GU34 1HD,Lady Place Car Park/Alton,260,Car,03 October 2018,Monday to Saturday 8:00am - 6:00pm,£1.00,20p,10p,10p,10 Hours,Up to Maximum stay,No,Off street,1
Church Street Car Park,9578,51.1504402,-0.973819971,East Hampshire District Council,GU34 1BZ,Church Street Car Park/Alton,20,Car,19 May 2017,Monday to Saturday 8:00am - 6:00pm,£1.00,20p,10p,10p,10 Hours,Up to Maximum stay,No,Off street,1
Mount Pleasant Car Park,9579,51.1461105,-0.977540016,East Hampshire District Council,GU34 1LG,Mount Pleasant Car Park/Alton,100,Car,19 May 2017,Monday to Saturday 8:00am - 6:00pm,£1.00,20p,10p,10p,10 Hours,Up to Maximum stay,No,Off street,1
Victoria Road Car Park,9580,51.1510811,-0.974170029,East Hampshire District Council,GU34 2DB,Victoria Road Car Park/Alton,70,Car,19 May 2017,Monday to Saturday 8:00am - 6:00pm,£1.00,20p,10p,10p,10 Hours,Up to Maximum stay,No,Off street,1
Vicarage Hill Car Park,9581,51.1501083,-0.975170016,East Hampshire District Council,GU34 2BW,Vicarage Hill Car Park/Alton,50,Car,19 May 2017,Monday to Saturday 8:00am - 6:00pm,£1.00,20p,10p,10p,10 Hours,Up to Maximum stay,No,Off street,1
Bank Car Park,9582,51.1494484,-0.976629972,East Hampshire District Council,GU34 1HT,Bank Car Park/Alton,200,Car,03 October 2018,Monday to Saturday 8:00am - 6:00pm,£1.00,20p,10p,10p,10 Hours,Up to Maximum stay,No,Off street,1
The Regis Centre Car Park,9650,50.7830391,-0.670870006,Arun District Council,PO21 1LD,The Regis Centre Car Park/Bognor Regis,188,Car,13 March 2023,All Week 8:00am - 6:00pm,£1.50,20p,10p,10p,10 Hours,Forever,No,Off street,1
Fitzleet Centre Car Park,9651,50.7847519,-0.675140023,Arun District Council,PO21 1QL,Fitzleet Centre Car Park/Bognor Regis,367,Car,13 March 2023,All Week 8:00am - 6:00pm,£1.50,20p,10p,10p,10 Hours,Forever,No,Off street,1
Hothamton Car Park,9652,50.7843285,-0.676829994,Arun District Council,PO21 1TF,Hothamton Car Park/Bognor Regis,216,Car,13 March 2023,All Week 8:00am - 6:00pm,£1.50,20p,10p,10p,10 Hours,Forever,No,Off street,1
London Road Car Park,9653,50.7884903,-0.671689987,Arun District Council,PO21 1PQ,London Road Car Park/Bognor Regis,105,"Car, HGV/LGV",13 March 2023,All Week 8:00am - 6:00pm,£1.20,20p,10p,10p,10 Hours,Forever,No,Off street,2
London Road Car Park - Heavy Goods Vehicles,9654,50.7891808,-0.670729995,Arun District Council,PO21 1PQ,London Road Car Park - Heavy Goods Vehicles/Bognor Regis,0,"HGV/LGV, Coach",02 May 2022,All Week,£3.00,20p,10p,10p,14 Hours,Forever,No,Off street,2
Lyon Street Car Park,9655,50.7852097,-0.672089994,Arun District Council,PO21 1DU,Lyon Street Car Park/Bognor Regis,66,Car,13 March 2023,All Week 8:00am - 6:00pm,£1.50,20p,10p,10p,10 Hours,Forever,No,Off street,1
Hotham Park Car Park,9656,50.7880402,-0.666339993,Arun District Council,PO21 1HP,Hotham Park Car Park/Bognor Regis,51,Car,13 March 2023,All Week 8:00am - 5:00pm,£2.00,20p,10p,10p,9 Hours,Forever,No,Off street,1
Gloucester Road Car Park,9657,50.7835617,-0.665409982,Arun District Council,PO21 1NU,Gloucester Road Car Park/Bognor Regis,128,Car,13 March 2023,All Week 8:00am - 8:00pm,£2.00,20p,10p,10p,12 Hours,Forever,No,Off street,1
